task,split,source_row,reason
simulated_qm_elec_hf,train,3433,excluded_entity
simulated_qm_elec_hf,train,22117,excluded_entity
simulated_qm_elec_hf,train,22120,excluded_entity
simulated_qm_elec_hf,train,22121,excluded_entity
simulated_qm_elec_hf,train,22122,excluded_entity
simulated_qm_elec_hf,train,22792,excluded_entity
simulated_qm_elec_hf,train,23715,excluded_entity
simulated_qm_elec_hf,train,23716,excluded_entity
simulated_qm_elec_hf,valid,2451,excluded_entity
simulated_qm_elec_hf,valid,2452,excluded_entity
